Entry	Length	EC number	Keywords	Gene Ontology (molecular function)
B3GNI6	431		Acetylation;Alternative splicing;Cell cycle;Cell division;Cell projection;Coiled coil;Cytoplasm;Cytoskeleton;Direct protein sequencing;GTP-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Synapse	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; molecular adaptor activity [GO:0060090]
B3GS44	165		Cell membrane;Fertilization;Glycoprotein;GPI-anchor;Lipoprotein;Membrane;Reference proteome;Signal	
B3GSH5	432	2.1.1.4	Lipid metabolism;Melatonin biosynthesis;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase	acetylserotonin O-methyltransferase activity [GO:0017096]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
B3H4Y2	80		Apoplast;Cell membrane;Cleavage on pair of basic residues;Endoplasmic reticulum;Golgi apparatus;Membrane;Reference proteome;Secreted;Signal	LRR domain binding [GO:0030275]; receptor serine/threonine kinase binding [GO:0033612]
B3H5A9	101		Apoplast;Developmental protein;Direct protein sequencing;Hormone;Hydroxylation;Reference proteome;Secreted;Signal	hormone activity [GO:0005179]
B3H5J1	88		3D-structure;Differentiation;Endoplasmic reticulum;Growth factor;Hydroxylation;Reference proteome;Secreted;Signal;Sulfation	growth factor activity [GO:0008083]
B3H5K9	782		Alternative splicing;Centromere;Chromosome;Coiled coil;Cytoplasm;Cytoskeleton;Kinetochore;Nucleus;Reference proteome;Repeat;WD repeat	gamma-tubulin complex binding [GO:0140496]
B3H754	404	2.3.2.27	Alternative splicing;Membrane;Metal-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Ubl conjugation pathway;Vacuole;Zinc;Zinc-finger	transferase activity [GO:0016740]; zinc ion binding [GO:0008270]
B3H7I1	78		3D-structure;Apoplast;Cell membrane;Cleavage on pair of basic residues;Jasmonic acid signaling pathway;Membrane;Plant defense;Reference proteome;Secreted;Signal;Stress response	LRR domain binding [GO:0030275]; receptor serine/threonine kinase binding [GO:0033612]
B3KU38	563		Alternative splicing;Cell projection;Coiled coil;Cytoplasm;Phosphoprotein;Reference proteome	
B3L2V1	354	4.1.1.65	Decarboxylase;Endoplasmic reticulum;Lipid biosynthesis;Lipid metabolism;Lyase;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Pyruvate;Reference proteome;Transmembrane;Transmembrane helix;Zymogen	phosphatidylserine decarboxylase activity [GO:0004609]
B3LF48	546	3.6.5.2	Alternative splicing;Calcium;Cell membrane;Coiled coil;Cytoplasm;Endocytosis;Endosome;GTP-binding;Hydrolase;Membrane;Metal-binding;Nucleotide-binding;Nucleus;Reference proteome;Repeat	calcium ion binding [GO:0005509]; G protein activity [GO:0003925]; GTP binding [GO:0005525]
B3LV44	472	3.1.-.-	Autocatalytic cleavage;Calcium;Cell membrane;Cytoplasm;Developmental protein;Hydrolase;Lipoprotein;Membrane;Metal-binding;Morphogen;Nucleus;Palmitate;Protease;Reference proteome;Segmentation polarity protein;Signal;Transferase	calcium ion binding [GO:0005509]; cholesterol-protein transferase activity [GO:0140853]; morphogen activity [GO:0016015]; patched binding [GO:0005113]; peptidase activity [GO:0008233]
B3M185	189	3.6.5.2	Cell membrane;GTP-binding;Hydrolase;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation;Reference proteome	G protein activity [GO:0003925]; GTP binding [GO:0005525]; protein serine/threonine kinase activator activity [GO:0043539]
B3M301	770	5.6.1.1	ATP-binding;Cell cycle;Cell division;Chromosome;Cytoplasm;Cytoskeleton;Developmental protein;Differentiation;Isomerase;Lipid droplet;Membrane;Microtubule;Mitosis;Neurogenesis;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]
B3M3M6	1091	3.4.19.12	Hydrolase;Nucleus;Phosphoprotein;Protease;Reference proteome;Thiol protease;Ubl conjugation pathway	cysteine-type deubiquitinase activity [GO:0004843]; K63-linked deubiquitinase activity [GO:0061578]
B3MEY6	411		Cell cycle;Cell division;Coiled coil;Cytoplasm;Cytoskeleton;Microtubule;Mitosis;Reference proteome;Repeat;Transport;WD repeat	dynein complex binding [GO:0070840]
B3MH43	1037		Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	ATP binding [GO:0005524]; cell adhesion molecule binding [GO:0050839]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Wnt-protein binding [GO:0017147]
B3MKS0	880		Disulfide bond;Glycoprotein;Heparin-binding;Immunoglobulin domain;Membrane;Proteoglycan;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	coreceptor activity [GO:0015026]; hedgehog family protein binding [GO:0097108]; heparin binding [GO:0008201]; patched binding [GO:0005113]; protein homodimerization activity [GO:0042803]
B3MPN6	940		Differentiation;Growth regulation;Oogenesis;Phosphoprotein;Reference proteome;Repeat	insulin receptor binding [GO:0005158]; insulin-like growth factor receptor binding [GO:0005159]; phosphatidylinositol 3-kinase binding [GO:0043548]
B3N5J3	495	2.7.7.108; 3.1.4.-	ATP-binding;Hydrolase;Membrane;Nucleotide-binding;Nucleotidyltransferase;Repeat;TPR repeat;Transferase;Transmembrane;Transmembrane helix	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; protein adenylylhydrolase activity [GO:0044603]; protein homodimerization activity [GO:0042803]
B3N666	879		Disulfide bond;Glycoprotein;Heparin-binding;Immunoglobulin domain;Membrane;Proteoglycan;Repeat;Signal;Transmembrane;Transmembrane helix	coreceptor activity [GO:0015026]; hedgehog family protein binding [GO:0097108]; heparin binding [GO:0008201]; patched binding [GO:0005113]; protein homodimerization activity [GO:0042803]
B3N946	948		Differentiation;Growth regulation;Oogenesis;Phosphoprotein;Repeat	insulin receptor binding [GO:0005158]; insulin-like growth factor receptor binding [GO:0005159]; phosphatidylinositol 3-kinase binding [GO:0043548]
B3NC86	1085	3.4.19.12	Hydrolase;Nucleus;Phosphoprotein;Protease;Thiol protease;Ubl conjugation pathway	cysteine-type deubiquitinase activity [GO:0004843]; K63-linked deubiquitinase activity [GO:0061578]
B3NPW0	411		Cell cycle;Cell division;Coiled coil;Cytoplasm;Cytoskeleton;Microtubule;Mitosis;Repeat;Transport;WD repeat	dynein complex binding [GO:0070840]
B3NS99	1033		Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Phosphoprotein;Receptor;Repeat;Signal;Transmembrane;Transmembrane helix	ATP binding [GO:0005524]; cell adhesion molecule binding [GO:0050839]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Wnt-protein binding [GO:0017147]
B3NY03	1465	3.1.1.5	Developmental protein;Endoplasmic reticulum;Hydrolase;Lipid degradation;Lipid metabolism;Membrane;Neurogenesis;Phosphoprotein;Transmembrane;Transmembrane helix	lysophospholipase activity [GO:0004622]; protein kinase A catalytic subunit binding [GO:0034236]
B3NZR4	189	3.6.5.2	Cell membrane;GTP-binding;Hydrolase;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation	G protein activity [GO:0003925]; GTP binding [GO:0005525]; protein serine/threonine kinase activator activity [GO:0043539]
B3P7F8	465	3.1.-.-	Autocatalytic cleavage;Calcium;Cell membrane;Cytoplasm;Developmental protein;Hydrolase;Lipoprotein;Membrane;Metal-binding;Morphogen;Nucleus;Palmitate;Protease;Segmentation polarity protein;Signal;Transferase	calcium ion binding [GO:0005509]; cholesterol-protein transferase activity [GO:0140853]; morphogen activity [GO:0016015]; patched binding [GO:0005113]; peptidase activity [GO:0008233]
B3P8A3	758	5.6.1.1	ATP-binding;Cell cycle;Cell division;Chromosome;Cytoplasm;Cytoskeleton;Developmental protein;Differentiation;Isomerase;Lipid droplet;Membrane;Microtubule;Mitosis;Neurogenesis;Nucleotide-binding	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]
B3PC73	732	3.2.1.131	3D-structure;Carbohydrate metabolism;Cell outer membrane;Glycosidase;Hydrolase;Membrane;Polysaccharide degradation;Reference proteome;Signal;Xylan degradation	alpha-glucuronidase activity [GO:0046559]; xylan alpha-1,2-glucuronosidase activity [GO:0033939]
B3STU4	792		3D-structure;Allergen;Coiled coil;Copper;Direct protein sequencing;Metal-binding;Seed storage protein;Signal;Storage protein	copper ion binding [GO:0005507]; nutrient reservoir activity [GO:0045735]
B3SV56	614		Acetylation;Activator;Biological rhythms;Cell projection;Cytoplasm;Differentiation;DNA-binding;Heme;Iron;Metal-binding;Nucleus;Phosphoprotein;Receptor;Reference proteome;Repressor;Synapse;Transcription;Transcription regulation;Ubl conjugation;Zinc;Zinc-finger	E-box binding [GO:0070888]; nuclear receptor activity [GO:0004879]; transcription corepressor binding [GO:0001222]; zinc ion binding [GO:0008270]
B3TLD6	1112	3.2.1.140	3D-structure;Cell membrane;Disulfide bond;Glycosidase;Hydrolase;Membrane;Signal;Transmembrane;Transmembrane helix	beta-N-acetylhexosaminidase activity [GO:0004563]; lacto-N-biosidase activity [GO:0047403]
B3TMR8	332	1.1.1.384	3D-structure;Antibiotic biosynthesis;NADP;Oxidoreductase	nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]
B3TP03	654		Alternative splicing;Amino-acid transport;Cell membrane;Glycoprotein;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	L-arginine transmembrane transporter activity [GO:0061459]; L-lysine transmembrane transporter activity [GO:0015189]; L-ornithine transmembrane transporter activity [GO:0000064]
B3VBK9	228		3D-structure;Chitin-binding;Disulfide bond;Glycoprotein;Reference proteome;Repeat;Secreted;Signal;Virulence	chitin binding [GO:0008061]
B3VI55	439	2.7.1.232	3D-structure;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Transferase	ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]
B3VSG7	227	3.2.1.8	Carbohydrate metabolism;Direct protein sequencing;Glycosidase;Hydrolase;Polysaccharide degradation;Reference proteome;Secreted;Signal;Virulence;Xylan degradation	endo-1,4-beta-xylanase activity [GO:0031176]
B3WFY8	489	2.7.11.1	Alternative splicing;ATP-binding;Cell projection;Cilium;Cilium biogenesis/degradation;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
B3Y613	784		Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Isopeptide bond;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; triacyl lipopeptide binding [GO:0042497]
B3Y614	784		Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Isopeptide bond;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	amyloid-beta binding [GO:0001540]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; pattern recognition receptor activity [GO:0038187]; peptidoglycan binding [GO:0042834]; protein-containing complex binding [GO:0044877]; Toll-like receptor binding [GO:0035325]; transmembrane signaling receptor activity [GO:0004888]; triacyl lipopeptide binding [GO:0042497]
B3Y615	784		Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Isopeptide bond;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	amyloid-beta binding [GO:0001540]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; pattern recognition receptor activity [GO:0038187]; peptidoglycan binding [GO:0042834]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; Toll-like receptor binding [GO:0035325]; transmembrane signaling receptor activity [GO:0004888]; triacyl lipopeptide binding [GO:0042497]
B3Y618	784		Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Isopeptide bond;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; triacyl lipopeptide binding [GO:0042497]
B4E9I9	213	3.5.1.9	3D-structure;Hydrolase;Metal-binding;Tryptophan catabolism;Zinc	arylformamidase activity [GO:0004061]; formamidase activity [GO:0004328]; zinc ion binding [GO:0008270]
B4EUF7	433	4.2.1.11	Acetylation;Cytoplasm;Glycolysis;Hydroxylation;Lyase;Magnesium;Metal-binding;Reference proteome;Secreted	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]
B4EY22	514		3D-structure;Antiport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	(R)-carnitine:4-(trimethylammonio)butanoate antiporter activity [GO:0044667]
B4EZY7	496		3D-structure;Cell inner membrane;Cell membrane;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Sugar transport;Symport;Transmembrane;Transmembrane helix;Transport	symporter activity [GO:0015293]
B4F6I3	374	1.6.5.-	Acetylation;Apoptosis;Cell membrane;Cytoplasm;FAD;Flavoprotein;Lipid droplet;Lipoprotein;Membrane;Mitochondrion;Myristate;Nucleus;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix;Ubl conjugation	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]
B4F6I5	446	2.7.7.108; 3.1.4.-	ATP-binding;Endoplasmic reticulum;Glycoprotein;Hydrolase;Magnesium;Manganese;Membrane;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Repeat;Signal-anchor;TPR repeat;Transferase;Transmembrane;Transmembrane helix;Unfolded protein response	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; protein adenylylhydrolase activity [GO:0044603]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]
B4F6N6	767	1.4.3.13	Basement membrane;Calcium;Chromatin regulator;Chromosome;Copper;Disulfide bond;Endoplasmic reticulum;Extracellular matrix;Glycoprotein;LTQ;Metal-binding;Nucleus;Oxidoreductase;Reference proteome;Repeat;Repressor;Secreted;Signal;TPQ;Transcription;Transcription regulation	calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; oligosaccharide binding [GO:0070492]; protein-lysine 6-oxidase activity [GO:0004720]
B4F753	386	3.1.-.-; 3.1.1.23	Endoplasmic reticulum;Glycoprotein;Hydrolase;Lipid metabolism;Membrane;Reference proteome;Transmembrane;Transmembrane helix	lysophospholipase activity [GO:0004622]; monoacylglycerol lipase activity [GO:0047372]; phospholipase activity [GO:0004620]
B4F769	910	3.6.4.-	Acetylation;Coiled coil;Hydrolase;Nucleus;Phosphoprotein;Reference proteome;Repeat	ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent DNA/DNA annealing activity [GO:0036310]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]
B4F779	662		Cell cycle;Cell membrane;Cell projection;Cytoplasm;Cytoplasmic vesicle;Endosome;Membrane;Nucleus;Reference proteome	identical protein binding [GO:0042802]; phosphatidylinositol binding [GO:0035091]; phosphatidylserine binding [GO:0001786]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]
B4F7B7	236	3.1.3.16; 3.1.3.48	Cell membrane;Hydrolase;Lipoprotein;Membrane;Myristate;Protein phosphatase;Reference proteome	phosphatase activity [GO:0016791]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]
B4F7C5	590		Cell membrane;Glycoprotein;Leucine-rich repeat;Membrane;Postsynaptic cell membrane;Reference proteome;Repeat;Signal;Synapse;Transmembrane;Transmembrane helix	heparan sulfate proteoglycan binding [GO:0043395]
B4F7E7	675		ATP-binding;Cell junction;Cell membrane;Cell projection;Golgi apparatus;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;SH3 domain;Tight junction;Transferase	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein domain specific binding [GO:0019904]
B4FK49	149	2.7.4.6	3D-structure;ATP-binding;DNA-binding;Kinase;Nucleotide-binding;Nucleus;Reference proteome;Transcription;Transcription regulation;Transferase	ATP binding [GO:0005524]; DNA binding [GO:0003677]; nucleoside diphosphate kinase activity [GO:0004550]
B4FZ81	555		Chloroplast;Nucleus;Plastid;Reference proteome;Transcription;Transcription regulation;Transit peptide	single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; transcription regulator activator activity [GO:0140537]
B4G2I8	481	3.1.-.-	Autocatalytic cleavage;Calcium;Cell membrane;Cytoplasm;Developmental protein;Hydrolase;Lipoprotein;Membrane;Metal-binding;Morphogen;Nucleus;Palmitate;Protease;Reference proteome;Segmentation polarity protein;Signal;Transferase	calcium ion binding [GO:0005509]; cholesterol-protein transferase activity [GO:0140853]; morphogen activity [GO:0016015]; patched binding [GO:0005113]; peptidase activity [GO:0008233]
B4G437	788	5.6.1.1	ATP-binding;Cell cycle;Cell division;Chromosome;Cytoplasm;Cytoskeleton;Developmental protein;Differentiation;Isomerase;Lipid droplet;Membrane;Microtubule;Mitosis;Neurogenesis;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]
B4GAJ1	411		Cell cycle;Cell division;Coiled coil;Cytoplasm;Cytoskeleton;Microtubule;Mitosis;Reference proteome;Repeat;Transport;WD repeat	dynein complex binding [GO:0070840]
B4GBH0	1035		Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	ATP binding [GO:0005524]; cell adhesion molecule binding [GO:0050839]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Wnt-protein binding [GO:0017147]
B4GFJ8	189	3.6.5.2	Cell membrane;GTP-binding;Hydrolase;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation;Reference proteome	G protein activity [GO:0003925]; GTP binding [GO:0005525]; protein serine/threonine kinase activator activity [GO:0043539]
B4GJC1	508	2.7.7.108; 3.1.4.-	ATP-binding;Hydrolase;Membrane;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Repeat;TPR repeat;Transferase;Transmembrane;Transmembrane helix	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; protein adenylylhydrolase activity [GO:0044603]; protein homodimerization activity [GO:0042803]
B4GKZ8	906		Disulfide bond;Glycoprotein;Heparin-binding;Immunoglobulin domain;Membrane;Proteoglycan;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	coreceptor activity [GO:0015026]; hedgehog family protein binding [GO:0097108]; heparin binding [GO:0008201]; patched binding [GO:0005113]; protein homodimerization activity [GO:0042803]
B4GZN1	562		Cell membrane;Cell projection;Developmental protein;Endoplasmic reticulum;Endosome;Glycoprotein;Golgi apparatus;Membrane;Postsynaptic cell membrane;Reference proteome;Segmentation polarity protein;Synapse;Transmembrane;Transmembrane helix;Wnt signaling pathway	Wnt-protein binding [GO:0017147]
B4H3U8	1435	3.1.1.5	Developmental protein;Endoplasmic reticulum;Hydrolase;Lipid degradation;Lipid metabolism;Membrane;Neurogenesis;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix	lysophospholipase activity [GO:0004622]; protein kinase A catalytic subunit binding [GO:0034236]
B4HFB7	465	3.1.-.-	Autocatalytic cleavage;Calcium;Cell membrane;Cytoplasm;Developmental protein;Hydrolase;Lipoprotein;Membrane;Metal-binding;Morphogen;Nucleus;Palmitate;Protease;Reference proteome;Segmentation polarity protein;Signal;Transferase	calcium ion binding [GO:0005509]; cholesterol-protein transferase activity [GO:0140853]; morphogen activity [GO:0016015]; patched binding [GO:0005113]; peptidase activity [GO:0008233]
B4HGG6	758	5.6.1.1	ATP-binding;Cell cycle;Cell division;Chromosome;Cytoplasm;Cytoskeleton;Developmental protein;Differentiation;Isomerase;Lipid droplet;Membrane;Microtubule;Mitosis;Neurogenesis;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]
B4HKC7	189	3.6.5.2	Cell membrane;GTP-binding;Hydrolase;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation;Reference proteome	G protein activity [GO:0003925]; GTP binding [GO:0005525]; protein serine/threonine kinase activator activity [GO:0043539]
B4HNW4	1029		Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	ATP binding [GO:0005524]; cell adhesion molecule binding [GO:0050839]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Wnt-protein binding [GO:0017147]
B4HSL3	411		Cell cycle;Cell division;Coiled coil;Cytoplasm;Cytoskeleton;Microtubule;Mitosis;Reference proteome;Repeat;Transport;WD repeat	dynein complex binding [GO:0070840]
B4HWI2	964		Differentiation;Growth regulation;Oogenesis;Phosphoprotein;Reference proteome;Repeat	insulin receptor binding [GO:0005158]; insulin-like growth factor receptor binding [GO:0005159]; phosphatidylinositol 3-kinase binding [GO:0043548]
B4HY03	880		Disulfide bond;Glycoprotein;Heparin-binding;Immunoglobulin domain;Membrane;Proteoglycan;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	coreceptor activity [GO:0015026]; hedgehog family protein binding [GO:0097108]; heparin binding [GO:0008201]; patched binding [GO:0005113]; protein homodimerization activity [GO:0042803]
B4I1V5	492	2.7.7.108; 3.1.4.-	ATP-binding;Hydrolase;Membrane;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Repeat;TPR repeat;Transferase;Transmembrane;Transmembrane helix	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; protein adenylylhydrolase activity [GO:0044603]; protein homodimerization activity [GO:0042803]
B4IL64	1468	3.1.1.5	Developmental protein;Endoplasmic reticulum;Hydrolase;Lipid degradation;Lipid metabolism;Membrane;Neurogenesis;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix	lysophospholipase activity [GO:0004622]; protein kinase A catalytic subunit binding [GO:0034236]
B4J2W3	562		Cell membrane;Cell projection;Developmental protein;Endoplasmic reticulum;Endosome;Glycoprotein;Golgi apparatus;Membrane;Postsynaptic cell membrane;Reference proteome;Segmentation polarity protein;Synapse;Transmembrane;Transmembrane helix;Wnt signaling pathway	Wnt-protein binding [GO:0017147]
B4JBN5	483	2.7.7.108; 3.1.4.-	ATP-binding;Hydrolase;Membrane;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Repeat;TPR repeat;Transferase;Transmembrane;Transmembrane helix	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; protein adenylylhydrolase activity [GO:0044603]; protein homodimerization activity [GO:0042803]
B4JEF2	888		Disulfide bond;Glycoprotein;Heparin-binding;Immunoglobulin domain;Membrane;Proteoglycan;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	coreceptor activity [GO:0015026]; hedgehog family protein binding [GO:0097108]; heparin binding [GO:0008201]; patched binding [GO:0005113]; protein homodimerization activity [GO:0042803]
B4JII0	782	5.6.1.1	ATP-binding;Cell cycle;Cell division;Chromosome;Cytoplasm;Cytoskeleton;Developmental protein;Differentiation;Isomerase;Lipid droplet;Membrane;Microtubule;Mitosis;Neurogenesis;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]
B4JTF5	479	3.1.-.-	Autocatalytic cleavage;Calcium;Cell membrane;Cytoplasm;Developmental protein;Hydrolase;Lipoprotein;Membrane;Metal-binding;Morphogen;Nucleus;Palmitate;Protease;Reference proteome;Segmentation polarity protein;Signal;Transferase	calcium ion binding [GO:0005509]; cholesterol-protein transferase activity [GO:0140853]; morphogen activity [GO:0016015]; patched binding [GO:0005113]; peptidase activity [GO:0008233]
B4JWA1	411		Cell cycle;Cell division;Coiled coil;Cytoplasm;Cytoskeleton;Microtubule;Mitosis;Reference proteome;Repeat;Transport;WD repeat	dynein complex binding [GO:0070840]
B4K4M0	476	3.1.-.-	Autocatalytic cleavage;Calcium;Cell membrane;Cytoplasm;Developmental protein;Hydrolase;Lipoprotein;Membrane;Metal-binding;Morphogen;Nucleus;Palmitate;Protease;Reference proteome;Segmentation polarity protein;Signal;Transferase	calcium ion binding [GO:0005509]; cholesterol-protein transferase activity [GO:0140853]; morphogen activity [GO:0016015]; patched binding [GO:0005113]; peptidase activity [GO:0008233]
B4K799	765	5.6.1.1	ATP-binding;Cell cycle;Cell division;Chromosome;Cytoplasm;Cytoskeleton;Developmental protein;Differentiation;Isomerase;Lipid droplet;Membrane;Microtubule;Mitosis;Neurogenesis;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]
B4KFW6	502	2.7.7.108; 3.1.4.-	ATP-binding;Hydrolase;Membrane;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Repeat;TPR repeat;Transferase;Transmembrane;Transmembrane helix	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; protein adenylylhydrolase activity [GO:0044603]; protein homodimerization activity [GO:0042803]
B4KJW1	897		Disulfide bond;Glycoprotein;Heparin-binding;Immunoglobulin domain;Membrane;Proteoglycan;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	coreceptor activity [GO:0015026]; hedgehog family protein binding [GO:0097108]; heparin binding [GO:0008201]; patched binding [GO:0005113]; protein homodimerization activity [GO:0042803]
